Symbol,Date,Open,High,Low,Close,Percent Change,Volume
HBL,12/17/2023,203.6,208,199.6,206,-0.0082,"23,306.00"
HBL,12/14/2023,208,209.9,207,207.7,-0.01,"15,409.00"
HBL,12/13/2023,209.9,210,206,209.8,0.016,"32,115.00"
HBL,12/12/2023,207,208,204,206.5,-0.0034,"36,739.00"
HBL,12/11/2023,211.2,215,205,207.2,0.0005,"53,328.00"
HBL,12/10/2023,198,207.1,198,207.1,0.0412,"1,740.00"
HBL,12/7/2023,200.9,200.9,196.3,198.9,0.002,"15,581.00"
HBL,12/6/2023,197.5,199.9,196.1,198.5,-0.0065,"11,914.00"
HBL,12/5/2023,198.1,201,196.1,199.8,0.0015,"11,461.00"
HBL,12/4/2023,197,200,196,199.5,0.0127,"27,732.00"
HBL,12/3/2023,198,198.1,195.9,197,-0.0071,"20,400.00"
HBL,11/30/2023,199,199.6,196,198.4,-0.006,"20,933.00"
HBL,11/29/2023,199.6,202,198.1,199.6,0,"9,913.00"
HBL,11/28/2023,204,204,199,199.6,-0.0216,"17,432.00"
HBL,11/27/2023,206,208,201.1,204,-0.0073,"26,379.00"
HBL,11/26/2023,200,205.5,197.5,205.5,0.0379,"30,912.00"
HBL,11/23/2023,199,199,196,198,0,"17,391.00"
HBL,11/22/2023,199.7,199.9,197,198,-0.005,"17,526.00"
HBL,11/21/2023,200,200,196,199,-0.003,"13,041.00"
HBL,11/20/2023,202,202,199,199.6,0.0071,"11,853.00"
HBL,11/9/2023,200,201.3,196,198.2,0.0005,"25,161.00"
HBL,11/8/2023,196,215.2,195.2,198.1,0.001,"18,278.00"
HBL,11/7/2023,200.9,201,195.1,197.9,-0.0005,"19,292.00"
HBL,11/6/2023,197.9,214,194.1,198,0.0154,"22,725.00"
HBL,11/5/2023,198,200,193.6,195,-0.0122,"42,761.00"
HBL,11/2/2023,199,199,196,197.4,-0.007,"16,464.00"
HBL,11/1/2023,200,200,197,198.8,-0.001,"14,778.00"
HBL,10/31/2023,198,200,198,199,-0.005,"12,374.00"
HBL,10/30/2023,199.1,201,198.5,200,-0.001,"27,696.00"
HBL,10/29/2023,203.8,203.8,200.2,200.2,-0.0215,"12,410.00"
HBL,10/19/2023,205.9,205.9,200,204.6,0.0064,"31,250.00"
HBL,10/18/2023,200.9,204.9,199,203.3,0.0119,"21,236.00"
HBL,10/17/2023,200,200.9,193,200.9,0.0095,"70,472.00"
